rua,freq
"AV. ENG. ABDIAS DE CARVALHO, ENTRE OS N. 1785 E 1745",440
"AV. GOV. AGAMENON MAGALHAES, LADO OPOSTO AO N. 1800",127
"AV. CAXANGA, SEMAFORO 609, Sentido:SUBURBIO Faixa: 1",105
"AV. MARECHAL MASCARENHAS DE MORAES, SEMAFORO 531,Sentido:AEROPORTO Faixa: 1",700
"RUA FALCAO DE LACERDA, SEMAFORO 285, Sentido:CENTRO Faixa: 1",441
"AV. GOV. AGAMENON MAGALHAES, SEMAFORO 173., Sentido:OLINDA Faixa: 3",101
"AV. ENG. ABDIAS DE CARVALHO, SEMAFORO 271, Sentido:ROD. BR 232 Faixa: 2",464
"AV. ENG. DOMINGOS FERREIRA, SEMAFORO 297, Faixa: 1",374
"AV. GOV. AGAMENON MAGALHAES, SEMAFORO 069., Sentido:OLINDA Faixa: 2",18
"RUA VISCONDE DE JEQUITINHONHA, SEMAFORO 158, Sentido:SUBURBIO Faixa: 1",179
"RUA VISCONDE DE JEQUITINHONHA, SEMAFORO 154, Sentido:SUBURBIO Faixa: 1",188
"AV. NORTE MIGUEL ARRAES DE ALENCAR, SEMAFORO 043,Sentido:CENTRO Faixa: 2",42
"AV. GOV. AGAMENON MAGALHAES, SEMAFORO 049, Sentido:BOA VIAGEM Faixa: 2",295
"AV. MAL MASCARENHAS DE MORAES - SEM 530, Sentido:AFOGADOS Faixa: 3",76
"AV. NORTE MIGUEL ARRAES DE ALENCAR, SEMAFORO 062,Sentido:SUBURBIO Faixa: 2",423
"RUA PROF. ARNALDO CARNEIRO LEAO, SEMAFORO 544, Sentido:SUBURBIO Faixa: 1",204
"RUA VISCONDE DE JEQUITINHONHA,SEMAFORO 158, Sentido:SUBURBIO Faixa: 1",159
"AV. CONS. AGUIAR, N. 4620",250
"AV. GOV. AGAMENON MAGALHAES, SEMAFORO 069., Sentido:OLINDA",304
"AV. NORTE MIGUEL ARRAES DE ALENCAR, SEMAFORO 081,Sentido:CENTRO Faixa: 1",41
"PRACA DO DERBY, SEMAFORO 516, Sentido:CENTRO Faixa: 2",867
"AV. GOV. AGAMENON MAGALHAES, SEMAFORO 069, Sentido:BOA VIAGEM Faixa: 3",50
"AV. CAXANGÁ, LADO OPOSTO AO Nº 5693, SENTIDO SUBÚRBIO",677
"AV. LIBERDADE, SEMAFORO 440, Sentido:BR 232 Faixa: 1",62
"AV. DOM JOAO VI, PROXIMO AO SEMAFORO 669",108
"AV. RECIFE, SEMAFORO 617, Sentido:CEASA Faixa: 1",506
"AV. REPUBLICA DO LIBANO, N. 115 - PINA",471
"AV. NORTE MIGUEL ARRAES DE ALENCAR, SEMAFORO 043,Sentido:CENTRO Faixa: 1",40
"AV. DR. JOSE RUFINO, SEMAFORO 082, Sentido:CENTROFaixa: 1",142
"AV. GOV. AGAMENON MAGALHAES, SEMAFORO 049, Sentido:BOA VIAGEM Faixa: 1",391
"AV. BEBERIBE, 2960",536
"AV. LIBERDADE, SEMAFORO 440, Sentido:BR 232 Faixa: 2",138
"AVENIDA CONSELHEIRO ROSA E SILVA, AO PASSAR EM FRENTE AO EDIFICIO GOLDEN JAQUEIRA N.. 1930.",0
"AVENIDA PREFEITO ANTONIO PEREIRA, EM FRENTE A PLATAFORMA DE EMBARQUE",0
"AVENIDA PREFEITO ANTONIO PEREIRA, EM FRENTE AO PORTAO DE EMBARQUE",12
"AVENIDA PREFEITO ANTONIO PEREIRA, EM FRENTE AP PORTAO DE EMBARQUE",0
"AV. RECIFE, SEMAFORO 336, Sentido:BOA VIAGEM Faixa: 1",836
"AV. NORTE MIGUEL ARRAES DE ALENCAR, SEMAFORO 424,Sentido:SUBURBIO Faixa: 2",12
"RUA VASCO DA GAMA, AO PASSAR EM FRENTE A FARMACIACENTRAL N.. 645, SENTIDO CASA AMARELA.",3
"AV. ENG. ABDIAS DE CARVALHO, SEMAFORO 271, Sentido:CENTRO Faixa: 1",961
"AV. BOA VIAGEM, ENTRE O N. 2080 E 1906",531
"PRACA DO DERBY, SEMAFORO 516, Sentido:CENTRO Faixa: 1",211
"RUA CONEGO BARATA, 55",131
"AV. MARECHAL MASCARENHAS DE MORAES, SEMAFORO 531., Sentido:AEROPORTO Faixa: 3",190
"AV. SATURNINO DE BRITO, ENTRE O N. 384 E 478",286
"RUA VASCO DA GAMA, AO PASSAR EM FRENTE A FARMACIACENTRAL N..645, SENTIDO CASA AMARELA.",0
"AV. RUI BARBOSA, N. 1397",849
"RUA PROF. ARNALDO CARNEIRO LEAO, SEMAFORO 544, Sentido:SUBURBIO Faixa: 2",53
"AVENIDA DR JOSE RUFINO, SOB O SEMAFORO N. 208",0
"AV. ENG. ABDIAS DE CARVALHO, SEMAFORO 328, Sentido:BR 232 Faixa: 2",431
"RUA REAL DA TORRE, SEMAFORO 237, Sentido:AFOGADOSFaixa: 1",659
"AV. NORTE MIGUEL ARRAES DE ALENCAR, SEMAFORO 043,Sentido:SUBURBIO Faixa: 3",10
"AV. GOV. AGAMENON MAGALHAES, SEMAFORO 069., Sentido:OLINDA Faixa: 1",9
"AV. NORTE MIGUEL ARRAES DE ALENCAR, SEMAFORO 424,Sentido:SUBURBIO Faixa: 1",9
"CAIS SANTA RITA, PROX. AO N. 675",1667
"PRACA GOV. PAULO GUERRA, PROX. AO SEMAFORO 662",53
"AV. MARECHAL MASCARENHAS DE MORAES, SEMAFORO 531., Sentido:AEROPORTO Faixa: 2",410
"RUA GUARARAPES INFRAERO, EM FRENTE EDIFICIO GARAGEM",2
"RUA VASCO DA GAMA, AO PASSAR EM FRENTE AO N.. 630, SENTIDO NOVA DESCOBERTA.",3
"AV. DESEMBARGADOR JOSE NEVES, SEMAFORO 580, Sentido:CENTRO Faixa: 1",453
"RUA VISCONDE DE JEQUITINHONHA, SEMAFORO 154, Sentido:  SUBURBIO Faixa: 1",379
"AV. MAL MASCARENHAS DE MORAES - SEM 530, Sentido:AFOGADOS Faixa: 2",123
"AV. GOV. AGAMENON MAGALHAES, SEMAFORO 049, Sentido:BOA VIAGEM Faixa: 3",73
"AV. RECIFE, SEMAFORO 336, Sentido:BOA VIAGEM Faixa: 3",380
"AV. GOV. AGAMENON MAGALHAES, SEMAFORO 069, Sentido:BOA VIAGEM Faixa: 1",33
"AV. MAL MASCARENHAS DE MORAES - SEM 530, Sentido:AFOGADOS Faixa: 1",138
"AV. CAXANGÁ, EM FRENTE AO Nº 4500, SENTIDO SUBÚRBIO",190
"AV. CELSO FURTADO KM 2,5",108
"RUA GUILHERME PINTO, SEMAFORO 432, Faixa: 2",242
"AV. MAURICIO DE NASSAU, ENTRONC. TRAV. SANTA LUCIA",74
"AV. AFONSO OLINDENSE, N. 996",15
"AV. DR. JOSE RUFINO, SEMAFORO 044, Sentido:CENTROFaixa: 2",111
"RUA GUILHERME PINTO, SEMAFORO 432, Faixa: 1",481
"AV. CAXANGÁ, EM FRENTE AO Nº 4251, SENTIDO CENTRO",226
"AV. GOV. AGAMENON MAGALHAES, SEMAFORO 173., Sentido:OLINDA Faixa: 1",40
"AV. DR. JOSE RUFINO, SEMAFORO 044, Sentido:SUBURBIO Faixa: 4",161
"AV. BEBERIBE, SEMAFORO 131, Sentido:SUBURBIO Faixa: 1",127
"AV. CDE. DA BOA VISTA, SEMAFORO 486, Sentido:CENTRO Faixa: 4",942
"RUA PRINCESA ISABEL, EM FRENTE O SEMAFORO N. 031",0
"AVENIDA BOA VIAGEM, EM FRENTE AO NUMERO 3114 SENTIDO UNICO",3
"AVENIDA BOA VIAGEM, EM FRENTE AO N. 3114",31
"AV. ENG. ABDIAS DE CARVALHO, SEMAFORO 271, Sentido:CENTRO Faixa: 3",99
"RUA FREI JABOATAO, AO LADO AO N. 33",0
"RUA PROF. ARNALDO CARNEIRO LEAO, SEMAFORO 544, Sentido:SUBURBIO Faixa: 3",17
"AV. ANTONIO DE GOES, EM FRENTE AO N. 124",977
"RUA DES LULA CARDOSO AYRES ELEVADO NA INFRAERO, AO LADO PORTAO B3 AEROPORTO",9
"PRACA MINISTRO SALGADO FILHO, LADO OPOSTO ANTIGO AEROPORTO",40
"RUA DES LULA CARDOSO AYRES ELEVADO NA INFRAERO, AO LADO PORTAO B1 AEROPORTO",18
"RUA DES LULA CARDOSO AYRES ELEVADO NA INFRAERO, EM FRENTE PORTAO B2 AEROPORTO",0
"ESTRADA VELHA DE AGUA FRIA, LADO OPOSTO AO N. 353, NA ROTATORIA.",0
"RUA DES LULA CARDOSO AYRES ELEVADO NA INFRAERO, AO LADO PORTAO B5 AEROPORTO",8
"RUA GUARARAPES INFRAERO, LADO OPOSTO EDIFICIO GARAGEM",23
"RUA MELU, LADO OPOSTO AO N. 38",0
"PRACA MINISTRO SALGADO FILHO, LADO OPOSTO AO ANTIGO AEROPORTO SENTIDO UNICO",48
"AV. ENG. JOSE ESTELITA, APOS PTE. AGAMENON MAGALHAES",22
"AV. GOV. AGAMENON MAGALHÃES, PRÓXIMO AO SEMÁFORO 069, SENT. BOA VIAGEM",2188
"AVENIDA ENGENHEIRO ABDIAS DE CARVALHO, SOB O SEMAFORO N. 132",10
"RUA DA PAZ, EM FRENTE AO N. 125",0
"AV. BOA VIAGEM,  SEMAFORO 104, Sentido:CENTRO Faixa: 3",400
"AVENIDA GOVERNADOR AGAMENON MAGALHAES, EM FRENTE AO SEMAFORO N. 173. SENTIDO SUL.",0
"RUA DES LULA CARDOSO AYRES ELEVADO NA INFRAERO, EM FRENTE AO PORTAO DE EMBARQUE B5 AEROPORTO DO RECI",46
"PRACA MINISTRO SALGADO FILHO, LADO OPOSTO AO ANTIGO EDF DO AEROPORTO",0
"RUA DAS CALCADAS, AO LADO AO N. 138",1
"RUA SENADOR CARLOS WILSON CAMPOS INFRAERO, LADO OPOSTO AO PORTAO DE DESEMBARQUE A4 AEROPORTO DO RECI",166
"AV. GOV. AGAMENON MAGALHÃES, EM FRENTE AO Nº 2291, SENT. OLINDA",88
"ESTRADA DO ARRAIAL, CRUZAMENTO COM A RUA BELA VISTA",0
"AV. GOV. AGAMENON MAGALHÃES, ENTRE O Nº 4779 E 4575, SENT. OLINDA",64
"RUA ANTONIO HENRIQUE, LADO OPOSTO AO N. 89",2
"RUA PADRE FLORIANO, AO LADO AO N. 139",0
"AVENIDA MARECHAL MASCARENHAS DE MORAES, EM FRENTEAO ESTACIONAMENTO DO AEROPORTO",1
"PRACA DAS CINCO PONTAS, AO LADO AO POSTE N. B015352",0
"RUA DO ACRE, AO LADO DO MERCADO PUBLICO DE AFOGADOS",384
"AV. GOV. AGAMENON MAGALHÃES, ENTRE O Nº 73 e 55, SENT. OLINDA",31
"PRC. MIGUEL DE CERVANTES, LADO OPOSTO A EMERGENCIA PEDIATRICA DO HOSPITAL ESPERANCA",11
"AV. GOV. AGAMENON MAGALHÃES, ENTRE O Nº 3855 e 143, SENT. OLINDA",68
"RUA. CAPITAO JOSE DA LUZ, LADO OPOSTO AO N. 137",56
"RUA DA PRAIA, EM FRENTE AO N. 130",2
"AV. GOV. AGAMENON MAGALHÃES, ENTRE O Nº 3850 E 4264, SENT. BOA VIAGEM",186
"PRC. DO DERBY, LADO OPOSTO AO N. 85",21
"PRC. DO DERBY, AO LADO AO N. 85",7
"TRAVESSA DO FORTE, AO LADO AO N. 40",0
"PRC. MIGUEL DE CERVANTES, LADO OPOSTO AO N.60",0
"PRC. MIGUEL DE CERVANTES, LADO OPOSTO AO N. 60",23
"RUA VIDAL DE NEGREIROS, AO LADO AO N. 40",4
"RUA DES LULA CARDOSO AYRES ELEVADO NA INFRAERO, EM FRENTE AO PORTAO DE EMBARQUE B2 AEROPORTO DO RECI",0
"AV. GOV. AGAMENON MAGALHÃES, ENTRE O Nº 2936 E 2764, SENT. BOA VIAGEM",2100
"R. FELICIANO GOMES, LADO OPOSTO AO N. 180",17
"RUA ESTADO DE ISRAEL, EM FRENTE A CAFETERIA SAO BRAZ",0
"RUA VIDAL DE NEGREIROS, AO LADO AO N. 188",7
"PRACA DOM VITAL, LADO OPOSTO A PRACA DOM VITAL",5
"R. JORNALISTA TRAJANO CHACON, LADO OPOSTO AO N. 245",51
"R. FELICIANO GOMES, LADO OPOSTO AO N. 229",33
"RUA PADRE MUNIZ, EM FRENTE AO N. 108",0
"RUA JOSÉ BONIFÁCIO, AO LADO DO POSTE DE NÚMERO B047657",116
"RUA PADRE MUNIZ, EM FRENTE AO N. 176",0
"RUA ANTONIO GOMES DE FREITAS, LADO OPOSTO AO N. 81",6
"R. DA BAIXA VERDE, EM FRENTE AO N. 304",81
"RUA ESTADO DE ISRAEL, LADO OPOSTO AO N. 387",0
"R. JORNALISTA PAULO BITTENCOURT, EM FRENTE N. 109",0
"AVENIDA VISCONDE DE SAO LEOPOLDO, EM FRENTE AO N.365",0
"R. FREI MATIAS TEVIS, LADO OPOSTO AO N. 545",28
"R. FREI MATIAS TEVIS, LADO OPOSTO AO N. 65",34
"R. DA BAIXA VERDE, LADO OPOSTO AO N. 287",29
"R. JORNALISTA PAULO BITTENCOURT, EM FRENTE AO N. 61",20
"R. JORNALISTA PAULO BITTENCOURT, EM FRENTE AO N. 33",16
"R. FREI MATIAS TEVIS, EM FRENTE AO SANTANDER",1
"R. FREI MATIAS TEVIS, AO LADO DO N.83",0
"AV. GOV. AGAMENON MAGALHÃES, ENTRE O Nº 1160 E 3730, SENT. BOA VIAGEM",454
"RUA ELVIRA CARREIRA DE OLIVEIRA, LADO OPOSTO AO N.20",1
"PRC. DO DERBY, LADO OPOSTO AO N. 229",22
"R. SENADOR JOSE HENRIQUE, LADO OPOSTO AO N. 231",4
"R. SENADOR JOSE HENRIQUE, LADO OPOSTO AO N.231",1
"R. BARAO DE GOIANA, AO LADO DA CASA DO ESTUDANTE",1
"R. BARAO DE GOIANA, LADO OPOSTO AO N. 110",15
"RUA DES LULA CARDOSO AYRES ELEVADO NA INFRAERO, AO LADO DO B1",6
"R. BARAO DE GOIANA, LADO OPOSTO AO N. 115",13
"RUA SENADOR JOSE HENRIQUE, EM FRENTE AO N. 231",4
"R. BARAO DE GOIANA, AO LADO AO SEMAFORO N. 110",0
"R. SENADOR JOSE HENRIQUE, EM FRENTE AO N. 231",2
"AV. GOV. AGAMENON MAGALHÃES, ENTRE O Nº 4264 E 2132, SENT. BOA VIAGEM",179
